프로젝트,D/P&BOM 코드,D/P&BOM 내역,설계기능,도면종류,협력사,직영책임부서,작업 출도계획,작업 출도실적
P1,DPBOM000000001,도장,F1,D1,,D1,2014-07-13,2014-07-10
P1,DPBOM000000002,도장,F1,D1,,D1,2014-07-13,2014-07-10
P1,DPBOM000000003,가공,F2,D2,D5,D3,2014-07-14,2014-07-09
P1,DPBOM000000004,족장,F3,D3,,D4,2014-07-21,2014-06-30
P1,DPBOM000000005,공작,F2,D4,D5,D3,2014-07-21,2014-06-16
P1,DPBOM000000006,철의장,F2,D5,D5,D3,2012-11-20,2011-08-08
P1,DPBOM000000007,가공,F2,D2,D5,D3,2014-07-02,2014-06-26
P1,DPBOM000000008,재마킹,F4,D6,,D3,2014-07-09,2014-06-23
P1,DPBOM000000009,가공,F4,D7,,D3,2014-06-26,2014-06-16
P1,DPBOM000000010,가공,F2,D2,D5,D3,2014-08-04,2014-07-30
P1,DPBOM000000011,족장,F3,D3,,D4,2014-07-07,2014-06-30
P1,DPBOM000000012,의장,F1,D8,,D1,2014-07-01,2014-05-28
P1,DPBOM000000013,공작,F2,D4,D5,D3,2014-07-07,2014-06-16
P1,DPBOM000000014,철의장,F2,D5,D5,D3,2012-12-16,2011-07-14
P1,DPBOM000000015,가공,F2,D2,D5,D3,2014-07-22,2014-07-20
P1,DPBOM000000016,재마킹,F4,D6,,D3,2014-08-03,2014-07-22
P1,DPBOM000000017,가공,F4,D7,,D3,2014-07-22,2014-07-11
P1,DPBOM000000018,가공,F2,D2,D5,D3,2014-07-23,2014-07-20
P1,DPBOM000000019,재마킹,F4,D6,,D3,2014-08-04,2014-07-22
P1,DPBOM000000020,가공,F4,D7,,D3,2014-07-23,2014-07-11
P1,DPBOM000000021,가공,F2,D2,D5,D3,2014-06-15,2014-06-04
P1,DPBOM000000022,재마킹,F4,D6,,D3,2014-07-29,2014-07-14
P1,DPBOM000000023,가공,F4,D7,,D3,2014-07-17,2014-07-07
P1,DPBOM000000024,가공,F4,D7,,D3,2014-06-15,2014-06-02
P1,DPBOM000000025,가공,F2,D2,D5,D3,2014-06-25,2014-06-23
P1,DPBOM000000026,족장,F3,D3,,D4,2014-06-30,2014-06-30
P1,DPBOM000000027,의장,F1,D8,,D1,2014-06-22,2014-05-28
P1,DPBOM000000028,공작,F2,D4,D5,D3,2014-06-26,2014-06-16
P1,DPBOM000000029,철의장,F2,D5,D5,D3,2012-12-11,2011-07-14
P1,DPBOM000000030,가공,F2,D2,D5,D3,2014-06-01,2014-05-27
P1,DPBOM000000031,재마킹,F4,D6,,D3,2014-06-17,2014-06-02
P1,DPBOM000000032,가공,F4,D7,,D3,2014-06-01,2014-05-29
P1,DPBOM000000033,가공,F2,D2,D5,D3,2014-06-01,2014-05-27
P1,DPBOM000000034,재마킹,F4,D6,,D3,2014-06-17,2014-06-02
P1,DPBOM000000035,가공,F4,D7,,D3,2014-06-01,2014-05-29
P1,DPBOM000000036,가공,F2,D2,D5,D3,2014-07-23,2014-07-20
P1,DPBOM000000037,족장,F3,D3,,D4,2014-07-29,2014-06-30
P1,DPBOM000000038,공작,F2,D4,D5,D3,2014-07-29,2014-06-16
P1,DPBOM000000039,철의장,F2,D5,D5,D3,2012-12-16,2011-07-14
P1,DPBOM000000040,가공,F2,D2,D5,D3,2014-07-07,2014-07-02
P1,DPBOM000000041,재마킹,F4,D6,,D3,2014-07-20,2014-07-08
P1,DPBOM000000042,가공,F4,D7,,D3,2014-07-07,2014-07-06
P1,DPBOM000000043,가공,F2,D2,D5,D3,2014-09-16,2014-09-15
P1,DPBOM000000044,족장,F3,D3,,D4,2014-09-22,2014-06-26
P1,DPBOM000000045,재마킹,F4,D6,,D3,2014-09-15,2014-09-03
P1,DPBOM000000046,가공,F4,D7,,D3,2014-09-16,2014-09-15
P1,DPBOM000000047,의장,F1,D8,,D1,2014-09-11,2014-05-28
P1,DPBOM000000048,공작,F2,D4,D5,D3,2014-09-24,2014-09-21
P1,DPBOM000000049,철의장,F2,D5,D5,D3,2012-10-11,2011-07-17
P1,DPBOM000000050,가공,F2,D2,D5,D3,2014-09-03,2014-08-31
P1,DPBOM000000051,가공,F2,D2,D5,D3,2014-09-04,2014-09-01
P1,DPBOM000000052,재마킹,F4,D6,,D3,2014-09-16,2014-09-03
P1,DPBOM000000053,가공,F4,D7,,D3,2014-09-04,2014-08-24
P1,DPBOM000000054,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
P1,DPBOM000000055,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000056,재마킹,F4,D6,,D3,2014-06-03,2014-05-20
P1,DPBOM000000057,가공,F4,D7,,D3,2014-06-17,2014-06-15
P1,DPBOM000000058,의장,F1,D8,,D1,2014-06-12,2014-05-28
P1,DPBOM000000059,공작,F2,D4,D5,D3,2014-06-18,2014-06-15
P1,DPBOM000000060,철의장,F2,D5,D5,D3,2012-10-16,2011-07-17
P1,DPBOM000000061,가공,F2,D2,D5,D3,2014-05-22,2014-05-20
P1,DPBOM000000062,가공,F2,D2,D5,D3,2014-05-25,2014-05-20
P1,DPBOM000000063,재마킹,F4,D6,,D3,2014-06-04,2014-05-20
P1,DPBOM000000064,가공,F4,D7,,D3,2014-05-25,2014-05-22
P1,DPBOM000000065,가공,F2,D2,D5,D3,2014-06-22,2014-06-16
P1,DPBOM000000066,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000067,재마킹,F4,D6,,D3,2014-06-15,2014-06-05
P1,DPBOM000000068,가공,F4,D7,,D3,2014-06-22,2014-06-05
P1,DPBOM000000069,의장,F1,D8,,D1,2014-06-18,2014-05-28
P1,DPBOM000000070,공작,F2,D4,D5,D3,2014-06-24,2014-06-17
P1,DPBOM000000071,철의장,F2,D5,D5,D3,2012-12-31,2012-04-10
P1,DPBOM000000072,가공,F2,D2,D5,D3,2014-05-28,2014-05-18
P1,DPBOM000000073,가공,F2,D2,D5,D3,2014-06-15,2014-06-04
P1,DPBOM000000074,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000075,가공,F4,D7,,D3,2014-06-15,2014-06-02
P1,DPBOM000000076,의장,F1,D8,,D1,2014-06-05,2014-05-28
P1,DPBOM000000077,공작,F2,D4,D5,D3,2014-06-17,2014-06-04
P1,DPBOM000000078,철의장,F2,D5,D5,D3,2013-01-13,2012-04-23
P1,DPBOM000000079,가공,F2,D2,D5,D3,2014-05-21,2014-05-12
P1,DPBOM000000080,가공,F2,D2,D5,D3,2014-06-16,2014-06-03
P1,DPBOM000000081,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000082,가공,F4,D7,,D3,2014-06-16,2014-06-02
P1,DPBOM000000083,의장,F1,D8,,D1,2014-06-05,2014-05-28
P1,DPBOM000000084,공작,F2,D4,D5,D3,2014-06-17,2014-06-04
P1,DPBOM000000085,철의장,F2,D5,D5,D3,2013-01-08,2012-04-23
P1,DPBOM000000086,가공,F2,D2,D5,D3,2014-05-21,2014-05-13
P1,DPBOM000000087,가공,F2,D2,,D3,2014-08-24,2014-08-18
P1,DPBOM000000088,족장,F3,D3,,D4,2014-09-01,2014-06-26
P1,DPBOM000000089,가공,F4,D7,,D3,2014-08-24,2014-08-10
P1,DPBOM000000090,의장,F1,D8,,D1,2014-08-26,2014-05-28
P1,DPBOM000000091,공작,F2,D4,,D3,2014-08-27,2014-08-21
P1,DPBOM000000092,철의장,F2,D5,,D3,2013-02-18,2011-11-10
P1,DPBOM000000093,가공,F2,D2,,D3,2014-08-11,2014-08-06
P1,DPBOM000000094,가공,F2,D2,,D3,2014-09-01,2014-08-14
P1,DPBOM000000095,족장,F3,D3,,D4,2014-09-02,2014-06-26
P1,DPBOM000000096,가공,F4,D7,,D3,2014-09-01,2014-08-31
P1,DPBOM000000097,의장,F1,D8,,D1,2014-08-28,2014-05-28
P1,DPBOM000000098,공작,F2,D4,,D3,2014-09-03,2014-08-26
P1,DPBOM000000099,철의장,F2,D5,,D3,2013-02-26,2011-12-01
P1,DPBOM000000100,가공,F2,D2,,D3,2014-08-11,2014-07-30
P1,DPBOM000000101,가공,F2,D2,,D3,2014-07-03,2014-06-23
P1,DPBOM000000102,족장,F3,D3,,D4,2014-07-02,2014-06-26
P1,DPBOM000000103,가공,F4,D7,,D3,2014-07-03,2014-06-19
P1,DPBOM000000104,의장,F1,D8,,D1,2014-06-25,2014-05-28
P1,DPBOM000000105,공작,F2,D4,,D3,2014-07-02,2014-06-23
P1,DPBOM000000106,철의장,F2,D5,,D3,2013-02-26,2011-12-01
P1,DPBOM000000107,가공,F2,D2,,D3,2014-06-04,2014-06-03
P1,DPBOM000000108,가공,F2,D2,,D3,2014-07-03,2014-06-24
P1,DPBOM000000109,족장,F3,D3,,D4,2014-07-03,2014-06-26
P1,DPBOM000000110,가공,F4,D7,,D3,2014-07-03,2014-06-19
P1,DPBOM000000111,의장,F1,D8,,D1,2014-06-26,2014-05-28
P1,DPBOM000000112,공작,F2,D4,,D3,2014-07-03,2014-06-24
P1,DPBOM000000113,철의장,F2,D5,,D3,2012-12-16,2011-07-28
P1,DPBOM000000114,가공,F2,D2,,D3,2014-06-05,2014-05-28
P1,DPBOM000000115,가공,F2,D2,,D3,2014-06-26,2014-06-16
P1,DPBOM000000116,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000117,가공,F4,D7,,D3,2014-06-26,2014-06-16
P1,DPBOM000000118,의장,F1,D8,,D1,2014-06-22,2014-05-28
P1,DPBOM000000119,공작,F2,D4,,D3,2014-06-26,2014-06-16
P1,DPBOM000000120,철의장,F2,D5,,D3,2012-11-29,2011-09-18
P1,DPBOM000000121,가공,F2,D2,,D3,2014-06-01,2014-05-25
P1,DPBOM000000122,가공,F2,D2,,D3,2014-06-18,2014-06-12
P1,DPBOM000000123,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000124,재마킹,F4,D6,,D3,2014-06-04,2014-05-20
P1,DPBOM000000125,가공,F4,D7,,D3,2014-06-18,2014-06-17
P1,DPBOM000000126,의장,F1,D8,,D1,2014-06-15,2014-05-28
P1,DPBOM000000127,공작,F2,D4,,D3,2014-06-19,2014-06-10
P1,DPBOM000000128,철의장,F2,D5,,D3,2013-01-03,2011-09-11
P1,DPBOM000000129,가공,F2,D2,,D3,2014-05-25,2014-05-25
P1,DPBOM000000130,가공,F2,D2,,D3,2014-05-27,2014-05-25
P1,DPBOM000000131,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
P1,DPBOM000000132,가공,F4,D7,,D3,2014-05-27,2014-05-15
P1,DPBOM000000133,가공,F2,D2,,D3,2014-06-23,2014-06-15
P1,DPBOM000000134,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000135,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
P1,DPBOM000000136,가공,F4,D7,,D3,2014-06-23,2014-06-05
P1,DPBOM000000137,의장,F1,D8,,D1,2014-06-17,2014-05-28
P1,DPBOM000000138,공작,F2,D4,,D3,2014-06-23,2014-06-15
P1,DPBOM000000139,철의장,F2,D5,,D3,2013-01-03,2011-09-18
P1,DPBOM000000140,가공,F2,D2,,D3,2014-05-27,2014-05-18
P1,DPBOM000000141,가공,F2,D2,,D3,2014-05-27,2014-05-18
P1,DPBOM000000142,재마킹,F4,D6,,D3,2014-06-12,2014-05-28
P1,DPBOM000000143,가공,F4,D7,,D3,2014-05-27,2014-05-15
P1,DPBOM000000144,의장,F1,D8,,D1,2014-09-14,2014-05-28
P1,DPBOM000000145,철의장,F2,D5,,D3,2013-02-18,2011-12-01
P1,DPBOM000000146,가공,F2,D2,D5,D3,2014-09-22,2014-09-18
P1,DPBOM000000147,족장,F3,D3,,D4,2014-09-29,2014-06-26
P1,DPBOM000000148,공작,F2,D4,D5,D3,2014-09-30,2014-09-22
P1,DPBOM000000149,철의장,F2,D5,D5,D3,2013-01-28,2011-07-13
P1,DPBOM000000150,가공,F2,D2,D5,D3,2014-09-09,2014-09-07
P1,DPBOM000000151,가공,F2,D2,D5,D3,2014-09-11,2014-09-08
P1,DPBOM000000152,가공,F2,D2,D5,D3,2014-09-25,2014-09-22
P1,DPBOM000000153,족장,F3,D3,,D4,2014-10-05,2014-06-26
P1,DPBOM000000154,공작,F2,D4,D5,D3,2014-10-08,2014-09-22
P1,DPBOM000000155,철의장,F2,D5,D5,D3,2013-01-28,2011-07-14
P1,DPBOM000000156,가공,F2,D2,D5,D3,2014-09-17,2014-09-14
P1,DPBOM000000157,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
P1,DPBOM000000158,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000159,공작,F2,D4,D5,D3,2014-06-22,2014-06-18
P1,DPBOM000000160,가공,F2,D2,D5,D3,2014-05-26,2014-05-21
P1,DPBOM000000161,가공,F2,D2,D5,D3,2014-06-17,2014-06-12
P1,DPBOM000000162,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000163,공작,F2,D4,D5,D3,2014-06-23,2014-06-18
P1,DPBOM000000164,철의장,F2,D5,D5,D3,2013-02-03,2011-10-11
P1,DPBOM000000165,가공,F2,D2,D5,D3,2014-05-27,2014-05-21
P1,DPBOM000000166,가공,F2,D2,D5,D3,2014-05-29,2014-05-26
P1,DPBOM000000167,가공,F2,D2,D5,D3,2014-06-03,2014-05-29
P1,DPBOM000000168,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000169,공작,F2,D4,D5,D3,2014-06-17,2014-06-12
P1,DPBOM000000170,철의장,F2,D5,D5,D3,2013-02-03,2011-10-13
P1,DPBOM000000171,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
P1,DPBOM000000172,가공,F2,D2,D5,D3,2014-06-05,2014-06-02
P1,DPBOM000000173,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000174,공작,F2,D4,D5,D3,2014-06-17,2014-06-12
P1,DPBOM000000175,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
P1,DPBOM000000176,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
P1,DPBOM000000177,가공,F2,D2,,D3,2014-09-04,2014-08-24
P1,DPBOM000000178,족장,F3,D3,,D4,2014-09-17,2014-06-26
P1,DPBOM000000179,공작,F2,D4,,D3,2014-09-21,2014-09-02
P1,DPBOM000000180,철의장,F2,D5,,D3,2013-03-18,2011-12-04
P1,DPBOM000000181,가공,F2,D2,,D3,2014-08-31,2014-08-24
P1,DPBOM000000182,가공,F2,D2,,D3,2014-08-26,2014-08-19
P1,DPBOM000000183,족장,F3,D3,,D4,2014-09-02,2014-06-26
P1,DPBOM000000184,공작,F2,D4,,D3,2014-09-04,2014-08-25
P1,DPBOM000000185,철의장,F2,D5,,D3,2013-03-13,2011-12-04
P1,DPBOM000000186,가공,F2,D2,,D3,2014-08-14,2014-08-12
P1,DPBOM000000187,가공,F2,D2,,D3,2014-08-14,2014-08-12
P1,DPBOM000000188,가공,F2,D2,,D3,2014-06-30,2014-06-23
P1,DPBOM000000189,족장,F3,D3,,D4,2014-07-08,2014-06-26
P1,DPBOM000000190,공작,F2,D4,,D3,2014-07-08,2014-06-23
P1,DPBOM000000191,철의장,F2,D5,,D3,2013-03-18,2011-12-04
P1,DPBOM000000192,가공,F2,D2,,D3,2014-06-16,2014-06-04
P1,DPBOM000000193,가공,F2,D2,,D3,2014-06-30,2014-06-20
P1,DPBOM000000194,족장,F3,D3,,D4,2014-07-08,2014-06-26
P1,DPBOM000000195,공작,F2,D4,,D3,2014-07-08,2014-06-22
P1,DPBOM000000196,철의장,F2,D5,,D3,2013-03-18,2011-12-04
P1,DPBOM000000197,가공,F2,D2,,D3,2014-06-16,2014-06-09
P1,DPBOM000000198,가공,F2,D2,,D3,2014-06-16,2014-06-09
P1,DPBOM000000199,가공,F2,D2,,D3,2014-06-23,2014-06-20
P1,DPBOM000000200,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000201,공작,F2,D4,,D3,2014-06-30,2014-06-22
P1,DPBOM000000202,철의장,F2,D5,,D3,2013-03-21,2011-12-04
P1,DPBOM000000203,가공,F2,D2,,D3,2014-06-02,2014-06-02
P1,DPBOM000000204,가공,F2,D2,,D3,2014-06-24,2014-06-22
P1,DPBOM000000205,족장,F3,D3,,D4,2014-06-30,2014-06-26
P1,DPBOM000000206,공작,F2,D4,,D3,2014-06-30,2014-06-23
P1,DPBOM000000207,철의장,F2,D5,,D3,2013-03-21,2011-07-14
P1,DPBOM000000208,가공,F2,D2,,D3,2014-06-02,2014-06-01
P1,DPBOM000000209,가공,F2,D2,,D3,2014-06-02,2014-06-01
P1,DPBOM000000210,가공,F2,D2,,D3,2014-10-01,2014-09-16
P1,DPBOM000000211,족장,F3,D3,,D4,2014-10-09,2014-06-26
P1,DPBOM000000212,공작,F2,D4,,D3,2014-10-13,2014-09-16
P1,DPBOM000000213,철의장,F2,D5,,D3,2013-03-18,2012-01-04
P1,DPBOM000000214,가공,F2,D2,,D3,2014-09-22,2014-09-16
P1,DPBOM000000215,가공,F2,D2,D5,D3,2014-07-13,2014-07-09
P1,DPBOM000000216,족장,F3,D3,,D4,2014-08-04,2014-07-03
P1,DPBOM000000217,의장,F1,D8,,D1,2012-10-14,2012-06-11
P1,DPBOM000000218,공작,F2,D4,D5,D3,2014-08-04,2014-07-30
P1,DPBOM000000219,철의장,F5,D5,,D3,2012-10-31,2011-08-02
P1,DPBOM000000220,철의장,F2,D5,D5,D3,2012-10-31,2011-06-29
P1,DPBOM000000221,가공,F2,D2,D5,D3,2014-07-13,2014-07-10
P1,DPBOM000000222,재마킹,F4,D6,,D3,2014-07-24,2014-07-08
P1,DPBOM000000223,가공,F4,D7,,D3,2014-07-13,2014-07-02
P1,DPBOM000000224,가공,F2,D2,D5,D3,2014-07-13,2014-07-09
P1,DPBOM000000225,재마킹,F4,D6,,D3,2014-07-24,2014-07-22
P1,DPBOM000000226,가공,F4,D7,,D3,2014-07-13,2014-07-01
P1,DPBOM000000227,재마킹,F4,D6,,D3,2014-07-24,2014-07-08
P1,DPBOM000000228,가공,F4,D7,,D3,2014-07-13,2014-07-09
P1,DPBOM000000229,가공,F2,D2,D5,D3,2014-06-23,2014-06-18
P1,DPBOM000000230,족장,F3,D3,,D4,2014-07-16,2014-07-03
P1,DPBOM000000231,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
P1,DPBOM000000232,가공,F4,D7,,D3,2014-06-23,2014-06-05
P1,DPBOM000000233,의장,F1,D8,,D1,2014-07-09,2014-05-28
P1,DPBOM000000234,공작,F2,D4,,D3,2014-07-16,2014-06-30
P1,DPBOM000000235,철의장,F2,D5,,D3,2012-10-16,2011-06-29
P1,DPBOM000000236,가공,F2,D2,D5,D3,2014-06-23,2014-06-18
P1,DPBOM000000237,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
P1,DPBOM000000238,가공,F4,D7,,D3,2014-06-23,2014-06-05
P1,DPBOM000000239,가공,F2,D2,D5,D3,2014-06-23,2014-06-17
P1,DPBOM000000240,가공,F2,D2,D5,D3,2014-06-23,2014-06-17
P1,DPBOM000000241,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
P1,DPBOM000000242,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
P1,DPBOM000000243,가공,F4,D7,,D3,2014-06-23,2014-06-05
P1,DPBOM000000244,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
P1,DPBOM000000245,재마킹,F4,D6,,D3,2014-07-06,2014-06-23
P1,DPBOM000000246,가공,F4,D7,,D3,2014-06-23,2014-06-05
P1,DPBOM000000247,가공,F2,D2,D5,D3,2014-06-23,2014-06-16
P1,DPBOM000000248,가공,F2,D2,D5,D3,2014-08-13,2014-08-11
P1,DPBOM000000249,의장,F1,D8,,D1,2014-06-05,2014-05-28
P1,DPBOM000000250,공작,F2,D4,D5,D3,2014-06-17,2014-06-03
P1,DPBOM000000251,철의장,F2,D5,D5,D3,2012-10-28,2011-06-29
P1,DPBOM000000252,가공,F2,D2,D5,D3,2014-05-21,2014-05-18
P1,DPBOM000000253,재마킹,F4,D6,,D3,2014-06-02,2014-05-20
P1,DPBOM000000254,가공,F4,D7,,D3,2014-05-21,2014-05-12
P1,DPBOM000000255,가공,F2,D2,D5,D3,2014-07-31,2014-07-29
P1,DPBOM000000256,재마킹,F4,D6,,D3,2014-08-12,2014-07-28
P1,DPBOM000000257,가공,F4,D7,,D3,2014-07-31,2014-07-21
P1,DPBOM000000258,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
P1,DPBOM000000259,가공,F4,D7,,D3,2014-07-21,2014-07-20
P1,DPBOM000000260,가공,F2,D2,D5,D3,2014-09-22,2014-08-26
P1,DPBOM000000261,족장,F3,D3,,D4,2014-09-15,2014-07-03
P1,DPBOM000000262,재마킹,F4,D6,,D3,2014-09-16,2014-09-03
P1,DPBOM000000263,가공,F4,D7,,D3,2014-09-22,2014-09-09
P1,DPBOM000000264,의장,F1,D8,,D1,2014-09-11,2014-05-28
P1,DPBOM000000265,공작,F2,D4,D5,D3,2014-09-25,2014-09-21
P1,DPBOM000000266,철의장,F2,D5,D5,D3,2012-12-19,2011-09-13
P1,DPBOM000000267,가공,F2,D2,D5,D3,2014-09-04,2014-08-26
P1,DPBOM000000268,가공,F2,D2,D5,D3,2014-09-04,2014-08-26
P1,DPBOM000000269,가공,F2,D2,D5,D3,2014-08-10,2014-08-05
P1,DPBOM000000270,공작,F2,D4,D5,D3,2014-08-19,2014-08-10
P1,DPBOM000000271,철의장,F2,D5,D5,D3,2012-12-16,2011-06-29
P1,DPBOM000000272,가공,F2,D2,D5,D3,2014-07-30,2014-07-23
P1,DPBOM000000273,재마킹,F4,D6,,D3,2014-08-11,2014-07-28
P1,DPBOM000000274,가공,F4,D7,,D3,2014-07-30,2014-07-17
P1,DPBOM000000275,가공,F2,D2,D5,D3,2014-07-31,2014-07-22
P1,DPBOM000000276,재마킹,F4,D6,,D3,2014-08-12,2014-07-28
P1,DPBOM000000277,가공,F4,D7,,D3,2014-07-31,2014-07-21
P1,DPBOM000000278,가공,F2,D2,D5,D3,2014-09-22,2014-09-14
P1,DPBOM000000279,가공,F2,D2,D5,D3,2014-09-16,2014-09-11
P1,DPBOM000000280,족장,F3,D3,,D4,2014-10-02,2014-07-03
P1,DPBOM000000281,공작,F2,D4,D5,D3,2014-10-07,2014-10-01
P1,DPBOM000000282,철의장,F2,D5,D5,D3,2013-05-15,2012-11-14
P1,DPBOM000000283,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
P1,DPBOM000000284,족장,F3,D3,,D4,2014-08-11,2014-07-03
P1,DPBOM000000285,공작,F2,D4,,D3,2014-08-11,2014-08-03
P1,DPBOM000000286,철의장,F2,D5,,D3,2012-11-29,2011-06-29
P1,DPBOM000000287,가공,F2,D2,D5,D3,2014-07-21,2014-07-14
P1,DPBOM000000288,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
P1,DPBOM000000289,가공,F4,D7,,D3,2014-07-21,2014-07-09
P1,DPBOM000000290,가공,F2,D2,D5,D3,2014-07-22,2014-07-14
P1,DPBOM000000291,재마킹,F4,D6,,D3,2014-08-03,2014-07-22
P1,DPBOM000000292,가공,F4,D7,,D3,2014-07-22,2014-07-11
P1,DPBOM000000293,가공,F2,D2,D5,D3,2014-07-23,2014-07-14
P1,DPBOM000000294,가공,F2,D2,D5,D3,2014-08-12,2014-08-03
P1,DPBOM000000295,족장,F3,D3,,D4,2014-08-11,2014-07-03
P1,DPBOM000000296,의장,F1,D8,,D1,2014-08-04,2014-05-28
P1,DPBOM000000297,공작,F2,D4,D5,D3,2014-08-13,2014-08-11
P1,DPBOM000000298,철의장,F2,D5,D5,D3,2012-12-16,2011-06-29
P1,DPBOM000000299,가공,F2,D2,D5,D3,2014-07-29,2014-07-20
P1,DPBOM000000300,재마킹,F4,D6,,D3,2014-08-10,2014-07-28
P1,DPBOM000000301,가공,F4,D7,,D3,2014-07-29,2014-07-17
P1,DPBOM000000302,가공,F2,D2,D5,D3,2014-07-21,2014-07-12
P1,DPBOM000000303,재마킹,F4,D6,,D3,2014-07-31,2014-07-14
P1,DPBOM000000304,가공,F4,D7,,D3,2014-07-21,2014-07-09
P1,DPBOM000000305,재마킹,F4,D6,,D3,2014-08-21,2014-08-04
P1,DPBOM000000306,가공,F4,D7,,D3,2014-08-11,2014-07-30
P1,DPBOM000000307,가공,F2,D2,D5,D3,2014-09-29,2014-09-21
P1,DPBOM000000308,가공,F2,D2,D5,D3,2014-09-21,2014-09-16
P1,DPBOM000000309,족장,F3,D3,,D4,2014-10-02,2014-07-03
P1,DPBOM000000310,공작,F2,D4,D5,D3,2014-10-12,2014-10-07
P1,DPBOM000000311,철의장,F2,D5,D5,D3,2012-12-16,2012-10-28
P1,DPBOM000000312,가공,F2,D2,D5,D3,2014-08-17,2014-08-11
P1,DPBOM000000313,족장,F3,D3,,D4,2014-08-14,2014-07-03
P1,DPBOM000000314,공작,F2,D4,D5,D3,2014-08-14,2014-08-12
P1,DPBOM000000315,철의장,F2,D5,D5,D3,2012-11-20,2011-06-29
P1,DPBOM000000316,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
P1,DPBOM000000317,재마킹,F4,D6,,D3,2014-08-14,2014-07-28
P1,DPBOM000000318,가공,F4,D7,,D3,2014-08-04,2014-07-22
P1,DPBOM000000319,가공,F2,D2,D5,D3,2014-08-04,2014-07-27
P1,DPBOM000000320,가공,F2,D2,D5,D3,2014-07-24,2014-07-22
P1,DPBOM000000321,가공,F2,D2,D5,D3,2014-07-24,2014-07-22
P1,DPBOM000000322,가공,F2,D2,D5,D3,2014-08-24,2014-08-17
P1,DPBOM000000323,족장,F3,D3,,D4,2014-08-18,2014-07-03
P1,DPBOM000000324,공작,F2,D4,D5,D3,2014-08-18,2014-08-10
P1,DPBOM000000325,철의장,F2,D5,D5,D3,2012-11-20,2011-06-29
P1,DPBOM000000326,가공,F2,D2,D5,D3,2014-08-05,2014-07-27
P1,DPBOM000000327,재마킹,F4,D6,,D3,2014-08-17,2014-08-04
P1,DPBOM000000328,가공,F4,D7,,D3,2014-08-05,2014-07-24
P1,DPBOM000000329,가공,F2,D2,D5,D3,2014-07-28,2014-07-20
P1,DPBOM000000330,가공,F2,D2,,D3,2014-09-04,2014-08-28
P1,DPBOM000000331,족장,F3,D3,,D4,2014-09-03,2014-07-03
P1,DPBOM000000332,공작,F2,D4,D5,D3,2014-09-07,2014-09-01
P1,DPBOM000000333,철의장,F2,D5,D5,D3,2012-11-15,2011-06-29
P1,DPBOM000000334,가공,F2,D2,,D3,2014-08-24,2014-08-19
P1,DPBOM000000335,가공,F2,D2,,D3,2014-08-26,2014-08-19
P1,DPBOM000000336,재마킹,F4,D6,,D3,2014-09-07,2014-08-26
P1,DPBOM000000337,가공,F4,D7,,D3,2014-08-26,2014-08-14
P1,DPBOM000000338,가공,F2,D2,,D3,2014-08-17,2014-08-12
P1,DPBOM000000339,가공,F2,D2,,D3,2014-08-17,2014-08-12
P1,DPBOM000000340,가공,F2,D2,D5,D3,2014-09-04,2014-08-28
P1,DPBOM000000341,족장,F3,D3,,D4,2014-09-09,2014-07-03
P1,DPBOM000000342,공작,F2,D4,D5,D3,2014-09-11,2014-09-03
P1,DPBOM000000343,철의장,F2,D5,D5,D3,2012-11-20,2011-06-29
P1,DPBOM000000344,가공,F2,D2,D5,D3,2014-08-24,2014-08-14
P1,DPBOM000000345,가공,F2,D2,D5,D3,2014-08-24,2014-08-19
P1,DPBOM000000346,재마킹,F4,D6,,D3,2014-09-03,2014-08-19
P1,DPBOM000000347,가공,F4,D7,,D3,2014-08-24,2014-08-10
